0.000 INFO  /explore_debug_logger: explore_debug_logger: writing /home/abhijit/catkin_ws/src/team2_delivery/explore_debug.log
136.585 INFO  /move_base: Got new plan
137.503 INFO  /move_base: Got new plan
138.584 INFO  /move_base: Got new plan
139.584 INFO  /move_base: Got new plan
140.585 INFO  /move_base: Got new plan
141.667 INFO  /move_base: Got new plan
142.667 INFO  /move_base: Got new plan
143.667 INFO  /move_base: Got new plan
144.667 INFO  /move_base: Got new plan
145.667 INFO  /move_base: Got new plan
146.667 INFO  /move_base: Got new plan
147.668 INFO  /move_base: Got new plan
148.668 INFO  /move_base: Got new plan
149.667 INFO  /move_base: Got new plan
150.667 INFO  /move_base: Got new plan
151.667 INFO  /move_base: Got new plan
152.667 INFO  /move_base: Got new plan
153.667 INFO  /move_base: Got new plan
154.667 INFO  /move_base: Got new plan
155.667 INFO  /move_base: Got new plan
156.667 INFO  /move_base: Got new plan
157.667 INFO  /move_base: Got new plan
158.667 INFO  /move_base: Got new plan
159.667 INFO  /move_base: Got new plan
160.667 INFO  /move_base: Got new plan
161.668 INFO  /move_base: Got new plan
162.667 INFO  /move_base: Got new plan
163.668 INFO  /move_base: Got new plan
164.668 INFO  /move_base: Got new plan
165.668 INFO  /move_base: Got new plan
166.667 INFO  /move_base: Got new plan
167.667 INFO  /move_base: Got new plan
168.667 INFO  /move_base: Got new plan
169.667 INFO  /move_base: Got new plan
169.676 WARN  /move_base: DWA planner failed to produce path.
169.751 INFO  /move_base: Got new plan
170.751 INFO  /move_base: Got new plan
171.754 INFO  /move_base: Got new plan
172.751 INFO  /move_base: Got new plan
173.751 INFO  /move_base: Got new plan
174.751 INFO  /move_base: Got new plan
175.752 INFO  /move_base: Got new plan
176.752 INFO  /move_base: Got new plan
177.751 INFO  /move_base: Got new plan
178.752 INFO  /move_base: Got new plan
179.751 INFO  /move_base: Got new plan
180.752 INFO  /move_base: Got new plan
181.751 INFO  /move_base: Got new plan
182.752 INFO  /move_base: Got new plan
183.085 WARN  /move_base: DWA planner failed to produce path.
183.167 INFO  /move_base: Got new plan
184.167 INFO  /move_base: Got new plan
185.167 INFO  /move_base: Got new plan
185.584 INFO  /move_base: Got new plan
186.585 INFO  /move_base: Got new plan
187.584 INFO  /move_base: Got new plan
188.584 INFO  /move_base: Got new plan
189.585 INFO  /move_base: Got new plan
190.584 INFO  /move_base: Got new plan
191.584 INFO  /move_base: Got new plan
192.584 INFO  /move_base: Got new plan
193.585 INFO  /move_base: Got new plan
194.584 INFO  /move_base: Got new plan
195.584 INFO  /move_base: Got new plan
196.584 INFO  /move_base: Got new plan
197.585 INFO  /move_base: Got new plan
198.584 INFO  /move_base: Got new plan
199.584 INFO  /move_base: Got new plan
200.584 INFO  /move_base: Got new plan
201.584 INFO  /move_base: Got new plan
202.585 INFO  /move_base: Got new plan
203.584 INFO  /move_base: Got new plan
204.584 INFO  /move_base: Got new plan
205.584 INFO  /move_base: Got new plan
206.585 INFO  /move_base: Got new plan
207.584 INFO  /move_base: Got new plan
208.584 INFO  /move_base: Got new plan
209.584 INFO  /move_base: Got new plan
210.584 INFO  /move_base: Got new plan
211.585 INFO  /move_base: Got new plan
212.584 INFO  /move_base: Got new plan
218.584 WARN  /move_base: Clearing both costmaps outside a square (1.00m) large centered on the robot.
221.585 INFO  /move_base: Got new plan
222.584 INFO  /move_base: Got new plan
223.584 INFO  /move_base: Got new plan
224.585 INFO  /move_base: Got new plan
225.584 INFO  /move_base: Got new plan
226.584 INFO  /move_base: Got new plan
227.585 INFO  /move_base: Got new plan
228.584 INFO  /move_base: Got new plan
229.585 INFO  /move_base: Got new plan
230.584 INFO  /move_base: Got new plan
231.584 INFO  /move_base: Got new plan
232.584 INFO  /move_base: Got new plan
233.584 INFO  /move_base: Got new plan
234.584 INFO  /move_base: Got new plan
235.584 INFO  /move_base: Got new plan
236.584 INFO  /move_base: Got new plan
237.584 INFO  /move_base: Got new plan
238.584 INFO  /move_base: Got new plan
239.584 INFO  /move_base: Got new plan
240.584 INFO  /move_base: Got new plan
241.584 INFO  /move_base: Got new plan
242.584 INFO  /move_base: Got new plan
243.584 INFO  /move_base: Got new plan
244.584 INFO  /move_base: Got new plan
245.584 INFO  /move_base: Got new plan
246.584 INFO  /move_base: Got new plan
247.584 INFO  /move_base: Got new plan
248.584 INFO  /move_base: Got new plan
249.584 INFO  /move_base: Got new plan
250.584 INFO  /move_base: Got new plan
251.585 INFO  /move_base: Got new plan
252.586 INFO  /move_base: Got new plan
253.585 INFO  /move_base: Got new plan
254.584 INFO  /move_base: Got new plan
255.584 INFO  /move_base: Got new plan
256.584 INFO  /move_base: Got new plan
257.584 INFO  /move_base: Got new plan
258.585 INFO  /move_base: Got new plan
259.584 INFO  /move_base: Got new plan
260.584 INFO  /move_base: Got new plan
261.584 INFO  /move_base: Got new plan
262.584 INFO  /move_base: Got new plan
263.584 INFO  /move_base: Got new plan
264.584 INFO  /move_base: Got new plan
265.584 INFO  /move_base: Got new plan
266.584 INFO  /move_base: Got new plan
267.584 INFO  /move_base: Got new plan
268.585 INFO  /move_base: Got new plan
269.584 INFO  /move_base: Got new plan
270.585 INFO  /move_base: Got new plan
271.584 INFO  /move_base: Got new plan
272.584 INFO  /move_base: Got new plan
273.584 INFO  /move_base: Got new plan
