time,robot_x,robot_y,goal_x,goal_y,dist_to_goal,cmd_linear_x,cmd_angular_z,known_ratio,move_base_status,global_plan_len,time_on_current_goal,dist_5s
0.105,1.500002686210946,1.800000017807534,,,,0.0,0.0,-1.0,-1,0,,0.0
0.5,1.5000109317944545,1.7999997032885557,,,,0.0,0.0,0.021714952256944444,-1,0,,8.251579823629822e-06
1.0,1.500024679497634,1.799999178101478,,,,0.0,0.0,0.021714952256944444,-1,0,,2.2009310884344417e-05
1.5,1.5109753497978933,1.8031238421593772,,,,0.0,0.0,0.021714952256944444,-1,0,,0.011408664460553193
2.0,1.5063009852855203,1.796874255467983,,,,0.0,0.0,0.022901746961805556,-1,0,,0.0070312844798186514
2.5,1.5031899398101773,1.792186818445711,,,,0.0,0.0,0.022901746961805556,-1,0,,0.008438285949966588
3.0,1.503203620797338,1.7921863387840078,,,,0.0,0.0,0.022901746961805556,-1,0,,0.008443906803669373
3.5,1.5157165397750223,1.7906232842972112,,,,0.0,0.0,0.023213704427083332,-1,0,,0.01829886130765645
4.0,1.5141685435379197,1.7984357213026514,,,,0.0,0.0,0.023213704427083332,-1,0,,0.014251966087644407
4.5,1.4954329110048796,1.789060067817594,,,,0.0,0.0,0.023335774739583332,-1,0,,0.011856025945331054
5.0,1.506385598620606,1.7906217283836665,,,,0.0,0.0,0.023335774739583332,-1,0,,0.011344332653233386
5.5,1.506400503311844,1.8062460305146049,1.299709468971678,5.058430455213543,3.25874588084603,0.0,0.0,0.023390028211805556,1,137,0.082,0.00893550379053785
6.0,1.478542340191894,1.8087076240240698,1.299709468971678,5.058430455213543,3.2546397151425213,0.0,0.0,0.023390028211805556,1,137,0.582,0.02318033503713109
6.5,1.4407612368787885,1.803772323049468,1.299709468971678,5.058430455213543,3.2577131792856573,0.0,0.0,0.023390028211805556,1,132,1.082,0.07021710746307913
7.0,1.4269668774193875,1.8555669941515764,1.299709468971678,5.058430455213543,3.205390584345481,0.0,0.0,0.023661295572916668,1,132,1.5819999999999999,0.0986850457014423
7.5,1.4233650168128773,1.8931488887368284,1.299709468971678,5.058430455213543,3.167696022283261,0.0,0.0,0.023661295572916668,1,131,2.082,0.12870647990289147
8.0,1.4182207311763615,1.9283650674553885,1.299709468971678,5.058430455213543,3.1323081347324297,0.0,0.0,0.024359809027777776,1,131,2.582,0.160520209540371
8.5,1.3952489647141246,1.950147380852691,1.299709468971678,5.058430455213543,3.109751029520671,0.0,0.0,0.024359809027777776,1,127,3.082,0.1999009105104203
9.0,1.4043199485535975,1.9851894009610864,1.299709468971678,5.058430455213543,3.075020964153108,0.0,0.0,0.024359809027777776,1,127,3.582,0.2166648349086557
9.5,1.4098487616333677,2.0103787438378764,1.299709468971678,5.058430455213543,3.0500409667753887,0.0,0.0,0.025187174479166668,1,125,4.082,0.2372901240654907
10.0,1.418918171644687,2.0297930450938213,1.284226356850316,5.110416890055474,3.0835669538894264,0.0,0.0,0.025187174479166668,1,127,0.5,0.25466344362443716
10.5,1.4324168281852354,2.024694894330828,1.284226356850316,5.110416890055474,3.089278338171127,0.0,0.0,0.025187174479166668,1,127,1.0,0.23063713987091994
11.0,1.4414956544466198,2.0632402619910617,1.284226356850316,5.110416890055474,3.0512323796440732,0.0,0.0,0.025722927517361112,1,128,1.5,0.2572145421922035
11.5,1.4490734949438078,2.079221073419543,1.284226356850316,5.110416890055474,3.035674992111109,0.0,0.0,0.025722927517361112,1,128,2.0,0.27557414195561836
12.0,1.415686500316517,2.057954311629637,1.284226356850316,5.110416890055474,3.055292058381696,0.0,0.0,0.025722927517361112,1,125,2.5,0.2027014385334948
12.5,1.4032309289733351,2.0875613175397327,1.284226356850316,5.110416890055474,3.025197167206734,0.0,0.0,0.026028103298611112,1,125,3.0,0.19545222937120657
13.0,1.397156825772387,2.076469429476596,1.284226356850316,5.110416890055474,3.036048498355054,0.0,0.0,0.026028103298611112,1,125,3.5,0.1495947531184716
13.5,1.381891382392698,2.092433569753374,1.284226356850316,5.110416890055474,3.019563176824734,0.0,0.0,0.026028103298611112,1,125,4.0,0.14291180692075284
14.0,1.3700749037068678,2.130755269280433,1.3305234229192138,5.1119188281036045,2.9814259145730477,0.0,0.0,0.026028103298611112,1,123,0.499,0.1495397777051973
14.5,1.3526933216662553,2.1574862862356565,1.3305234229192138,5.1119188281036045,2.95451572154537,0.0,0.0,0.026143391927083332,1,123,0.999,0.15782069999891923
15.0,1.341021196566391,2.1660201212421577,1.3305234229192138,5.1119188281036045,2.9459174113235918,0.0,0.0,0.026421440972222224,1,119,1.499,0.15692595388358588
15.501,1.3514312846100527,2.200851073937121,1.3305234229192138,5.1119188281036045,2.9111428353875692,0.0,0.0,0.026421440972222224,1,119,2.0,0.1644637536921483
16.0,1.3559400910308743,2.2391545168124725,1.3305234229192138,5.1119188281036045,2.8728767455715722,0.0,0.0,0.02691650390625,1,0,2.499,0.19561589782212968
16.5,1.3398964406675213,2.247310059200015,1.3305234229192138,5.1119188281036045,2.864624103148797,0.0,0.0,0.02691650390625,1,0,2.999,0.20043337127622957
17.0,1.3319661729915426,2.2556908412947463,1.3305234229192138,5.1119188281036045,2.856228351192872,0.0,0.0,0.027364095052083332,1,0,3.499,0.21472966346409053
17.5,1.3520734978627882,2.3096307444808275,1.3305234229192138,5.1119188281036045,2.8023709442799127,0.0,0.0,0.027364095052083332,1,0,3.999,0.22788574580209395
18.0,1.3385254358141983,2.3153528974797886,2.4741937294602394,4.85806473272462,2.784802677082714,0.0,0.0,0.02783203125,1,115,0.498,0.245973476565384
18.5,1.3343526051607626,2.3433431635139743,2.4741937294602394,4.85806473272462,2.760989380511549,0.0,0.0,0.02783203125,1,115,0.998,0.25537337289117873
19.0,1.3174508172097437,2.381850350695173,2.4741937294602394,4.85806473272462,2.7330736965569074,0.0,0.0,0.02783203125,1,115,1.498,0.2565502570459281
19.5,1.3374855064734765,2.4300638505143253,2.4741937294602394,4.85806473272462,2.680912879640011,0.0,0.0,0.028225368923611112,1,115,1.998,0.2730014765363541
20.0,1.3423357481505827,2.44183418308851,2.4741937294602394,4.85806473272462,2.668196499294831,0.0,0.0,0.028225368923611112,1,111,2.498,0.2758171944568559
20.5,1.3463594511372132,2.4843837292811655,2.4741937294602394,4.85806473272462,2.627997653246431,0.0,0.0,0.028476291232638888,1,111,2.998,0.2835780142063572
21.0,1.3179776536157555,2.5141927184881134,2.4741937294602394,4.85806473272462,2.613536231461565,0.0,0.0,0.028476291232638888,1,110,3.498,0.2776457437733692
21.5,1.305740193053522,2.535813433718923,2.2909092605113983,4.222727471115914,1.9535191478567182,0.0,0.0,0.028476291232638888,1,0,0.083,0.29051823756842926
22.0,1.3038696645198742,2.587845413264986,2.2909092605113983,4.222727471115914,1.9097346693030415,0.0,0.0,0.028632269965277776,1,0,0.583,0.33334077678710666
22.5,1.3169303253011233,2.574118454769619,2.2909092605113983,4.222727471115914,1.9148228782348613,0.0,0.0,0.028632269965277776,1,0,1.083,0.2668122775876455
23.0,1.3145132623921867,2.570022753814068,2.2909092605113983,4.222727471115914,1.9195786068132215,0.0,0.0,0.028835720486111112,1,0,1.583,0.25579937489714716
23.5,1.314512030635326,2.5747115559775384,2.2909092605113983,4.222727471115914,1.915543788864939,0.0,0.0,0.028835720486111112,1,0,2.083,0.2322175304077477
24.0,1.3035743550326921,2.563775100913812,2.2909092605113983,4.222727471115914,1.9305318392028186,0.0,0.0,0.0289306640625,1,0,2.583,0.18245320206744906
24.5,1.3035732978457195,2.5637754517003795,2.2909092605113983,4.222727471115914,1.9305320784425841,0.0,0.0,0.0289306640625,1,0,3.083,0.1379450259550917
25.0,1.3223226965368367,2.573151234203902,2.2909092605113983,4.222727471115914,1.9129196776908441,0.0,0.0,0.0289306640625,1,0,3.583,0.13283331716304023
25.5,1.3160709533511765,2.5715901255490987,2.2909092605113983,4.222727471115914,1.9174368983182828,0.0,0.0,0.02899169921875,1,0,4.083,0.09231656757145248
26.0,1.3285690501684613,2.5684654883145477,2.3312501713323095,4.231250199644516,1.9417060609090857,0.0,0.0,0.02899169921875,1,0,0.498,0.05529657517034649
26.5,1.3332550393428266,2.5731534851953697,2.3312501713323095,4.231250199644516,1.9352723317253722,0.0,0.0,0.029025607638888888,1,0,0.998,0.046382606767922656
27.0,1.3332542576861843,2.5622148848874877,2.3312501713323095,4.231250199644516,1.9446528547688033,0.0,0.0,0.029025607638888888,1,0,1.498,0.03899202867842739
27.5,1.3325039639940457,2.5623106193014618,2.3312501713323095,4.231250199644516,1.9449558631260035,0.0,0.0,0.029045952690972224,1,0,1.998,0.01954387885197732
28.0,1.3207518496503492,2.5637782422623805,2.3312501713323095,4.231250199644516,1.9497614179119123,0.0,0.0,0.029045952690972224,1,0,2.498,0.008826884812710803
28.5,1.3238752402607088,2.5934659359389745,2.3312501713323095,4.231250199644516,1.9227952429192805,0.0,0.0,0.029045952690972224,1,0,2.998,0.020961785759490415
29.0,1.311376111978368,2.555967165293935,2.3312501713323095,4.231250199644516,1.9613047550357843,0.0,0.0,0.029134114583333332,1,0,3.498,0.011037720330011516
29.5,1.3207497497116705,2.5856556739066274,2.3312501713323095,4.231250199644516,1.9310858202664105,0.0,0.0,0.029134114583333332,1,0,3.998,0.02781680467807395
30.0,1.319951967910621,2.6103979711394527,2.361538634277307,4.284615586010309,1.9717777272037347,0.0,0.0,0.029229058159722224,1,92,0.5,0.03732210828135638
30.5,1.3044252102543212,2.609092692113517,2.361538634277307,4.284615586010309,1.981127396010131,0.0,0.0,0.029229058159722224,1,92,1.0,0.039269146046184734
31.0,1.2996666142637763,2.6281368308779034,2.361538634277307,4.284615586010309,1.9676112555819103,0.0,0.0,0.029229058159722224,1,91,1.5,0.06630248807200052
31.5,1.3272445303312137,2.6917025521876643,2.361538634277307,4.284615586010309,1.8992462259485248,0.0,0.0,0.029262966579861112,1,91,2.0,0.11870133741168311
32.0,1.3370362899955364,2.7322667618277303,2.361538634277307,4.284615586010309,1.8599440651212817,0.0,0.0,0.029262966579861112,1,88,2.5,0.17009392881372457
32.5,1.3418611492834094,2.7324790797493397,2.361538634277307,4.284615586010309,1.8571133265020445,0.0,0.0,0.029262966579861112,1,88,3.0,0.1704255316780337
33.0,1.3125411586510307,2.7986431405161487,2.361538634277307,4.284615586010309,1.8189309532354978,0.0,0.0,0.029296875,1,87,3.5,0.23500837406024322
33.5,1.3138206007740376,2.807116540710725,2.373077095987705,4.284615586010309,1.8179735288264032,0.0,0.0,0.029296875,1,85,0.083,0.2138870652810534
34.0,1.2971933983117592,2.861426850886703,2.373077095987705,4.284615586010309,1.7840941417726803,0.0,0.0,0.029330783420138888,1,85,0.583,0.3057887651457814
34.5,1.3049537012094017,2.8926328174906253,2.373077095987705,4.284615586010309,1.7545665032504332,0.0,0.0,0.029330783420138888,1,84,1.083,0.30738328163918816
35.0,1.342626485399211,2.944059312284211,2.373077095987705,4.284615586010309,1.6908339906355685,0.0,0.0,0.029432508680555556,1,84,1.583,0.33443089617716126
35.5,1.3621889310260333,2.998448722853231,2.373077095987705,4.284615586010309,1.6358851065838624,0.0,0.0,0.029432508680555556,1,77,2.083,0.39361753785975695
36.0,1.357811664088147,3.038884688341381,2.373077095987705,4.284615586010309,1.6070498954970966,0.0,0.0,0.029595269097222224,1,77,2.583,0.4148429211519898
36.5,1.3681797128021076,3.0471656672398204,2.373077095987705,4.284615586010309,1.5940831384210647,0.0,0.0,0.029595269097222224,1,79,3.083,0.3578124024213075
37.0,1.3759096005392637,3.0649574591402367,2.373077095987705,4.284615586010309,1.5754075537520862,0.0,0.0,0.029595269097222224,1,79,3.583,0.33495407797325105
37.5,1.395567903739452,3.1040994023225505,2.373077095987705,4.284615586010309,1.5326913195025744,0.0,0.0,0.029615614149305556,1,79,4.083,0.37548113084896684
38.0,1.385034077647008,3.1440668405572634,2.4153847889258313,4.284615586010309,1.5370341664996567,0.0,0.0,0.029615614149305556,1,79,0.497,0.35294865895006783
